gender,name,year,count,cnt_prev,share,share_prev,share_next,yoy,spike
female,가람,2009,219.0,245.0,9.88427722915275,10.729143858112545,10.275062123283549,0.916981660070683,0.916981660070683
female,가민,2009,108.0,66.0,4.874438085609576,2.890299978103788,4.256197281192767,1.6578029867391701,1.1319588414814596
female,가빈,2009,355.0,266.0,16.022458522142585,11.64878476023648,12.123713467640004,1.3695831533376042,1.316152098103283
female,가연,2009,678.0,789.0,30.600639092993447,34.552222465513466,28.76157556684809,0.8843547296273174,0.8843547296273174
female,가영,2009,649.0,746.0,29.291762199635322,32.66914823735493,25.79513503753192,0.895248311085109,0.895248311085109
female,가온,2009,338.0,283.0,15.255185860518857,12.393255966717756,19.002416144315184,1.225980233897159,0.8006956044297123
female,가원,2009,155.0,143.0,6.995721326569298,6.262316619224874,7.222637810508938,1.1082652770082917,0.9619235150773635
female,가윤,2009,422.0,347.0,19.046415482659636,15.19597109700022,24.763329636030644,1.2492753240498526,0.7675880569854254
female,가은,2009,1725.0,1587.0,77.85560831181961,69.49857674622291,72.22637810508938,1.1194421504254268,1.077192996564079
female,가을,2009,148.0,112.0,6.679785524724234,4.904751477994306,7.093662135321279,1.3481575320964887,0.9350645926683118
female,가인,2009,420.0,384.0,18.956148110703904,16.816290781694768,15.391097239060713,1.1239073460821207,1.1239073460821207
female,가현,2009,692.0,753.0,31.232510696683576,32.97569520472958,30.00834042699547,0.9457033531942364,0.9457033531942364
female,가희,2009,240.0,254.0,10.832084634687947,11.123275673308518,13.4134702195166,0.9694636516097395,0.8045536892105123
female,경민,2009,207.0,231.0,9.342672997418353,10.116049923363258,7.222637810508938,0.9190071923557398,0.9190071923557398
female,경빈,2009,98.0,64.0,4.423101225830911,2.802715130282461,2.665497287211632,1.5504882274708442,1.5504882274708442
female,경은,2009,145.0,223.0,6.544384466790634,9.76571053207795,5.760913491715462,0.6667254953580228,0.6667254953580228
female,고은,2009,316.0,371.0,14.262244769005797,16.24698927085614,13.671421569891919,0.8751459875175183,0.8751459875175183
